FID,SITE_ID,SITE_NAME,LAT,LON,LOCATION_E,IGBP,C4percent,LUE
0,CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,42.6609,-80.5595,265,ENF,0,1.931
1,CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,42.7068,-80.3483,184,ENF,0,1.931
2,CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,42.7102,-80.3574,184,ENF,0,1.931
3,CH-Cha,Chamau,47.2102,8.4104,393,GRA,0,1.931
4,CH-Dav,Davos,46.8153,9.8559,1639,ENF,1.470000029,1.931
5,CH-Fru,Fr¨¹eb¨¹el,47.1158,8.5378,982,GRA,0,1.931
6,CZ-BK1,Bily Kriz forest,49.5021,18.5369,875,ENF,0,1.931
7,DE-Geb,Gebesee,51.0997,10.9146,161.5,CRO,0,1.931
8,DE-Gri,Grillenburg,50.95,13.5126,385,GRA,0,1.931
9,DE-Hai,Hainich,51.0792,10.4522,430,DBF,0,1.931
10,DE-Kli,Klingenberg,50.8931,13.5224,478,CRO,0,1.931
11,DE-Tha,Tharandt,50.9626,13.5651,385,ENF,0,1.931
12,DK-Sor,Soroe,55.4859,11.6446,40,DBF,0,1.931
13,ES-LJu,Llano de los Juanes,36.9266,-2.7521,1600,OSH,0,1.931
14,FI-Hyy,Hyytiala,61.8474,24.2948,181,ENF,0,1.931
15,FI-Sod,Sodankyla,67.3624,26.6386,180,ENF,0,1.931
16,FR-Fon,Fontainebleau-Barbeau,48.4764,2.7801,103,DBF,7.340000153,1.931
17,FR-Gri,Grignon,48.8442,1.9519,125,CRO,6.489999771,1.993667438
18,FR-Pue,Puechabon,43.7413,3.5957,270,EBF,6.590000153,1.931
19,GF-Guy,Guyaflux (French Guiana),5.2788,-52.9249,48,EBF,0,1.931
20,IT-BCi,Borgo Cioffi,40.5237,14.9574,20,CRO,0,1.931
21,IT-Col,Collelongo,41.8494,13.5881,1560,DBF,0.810000002,1.931
22,IT-Lav,Lavarone,45.9562,11.2813,1353,ENF,3.569999933,1.931
23,IT-MBo,Monte Bondone,46.0147,11.0458,1550,GRA,1.370000005,1.94422872
24,IT-Ren,Renon,46.5869,11.4337,1730,ENF,1.370000005,1.931
25,IT-SRo,San Rossore,43.7279,10.2844,6,ENF,0,1.931
26,NL-Hor,Horstermeer,52.2403,5.0713,2.2,GRA,0,1.931
27,NL-Loo,Loobos,52.1666,5.7436,25,ENF,0,1.931
28,RU-Cok,Chokurdakh,70.8291,147.4943,48,OSH,0,1.931
29,RU-Fyo,Fyodorovskoye,56.4615,32.9221,265,ENF,0.850000024,1.931
30,US-ARM,ARM Southern Great Plains site- Lamont,36.6058,-97.4888,314,CRO,15.97000027,2.085206323
31,US-GLE,GLEES,41.3665,-106.2399,3197,ENF,0.159999996,1.931
32,US-Ha1,Harvard Forest EMS Tower (HFR1),42.5378,-72.1715,340,DBF,0,1.931
33,US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),41.8406,-88.241,226.5,GRA,38.27999878,2.300631668
34,US-Me2,Metolius mature ponderosa pine,44.4523,-121.5574,1253,ENF,0.029999999,1.931
35,US-MMS,Morgan Monroe State Forest,39.3232,-86.4131,275,DBF,42.27999878,1.931
36,US-Ne1,Mead - irrigated continuous maize site,41.1651,-96.4766,361,CRO,48.90999985,2.403274959
37,US-Ne2,Mead - irrigated maize-soybean rotation site,41.1649,-96.4701,362,CRO,48.90999985,2.403274959
38,US-Ne3,Mead - rainfed maize-soybean rotation site,41.1797,-96.4397,363,CRO,48.90999985,2.403274959
39,US-NR1,Niwot Ridge Forest (LTER NWT1),40.0329,-105.5464,3050,ENF,0.349999994,1.931
40,US-Oho,Oak Openings,41.5545,-83.8438,230,DBF,29.26000023,1.931
41,US-SRM,Santa Rita Mesquite,31.8214,-110.8661,1120,WSA,55.38999939,1.931
42,US-Ton,Tonzi Ranch,38.4309,-120.966,177,WSA,0,1.931
43,US-UMB,Univ. of Mich. Biological Station,45.5598,-84.7138,234,DBF,10.72000027,1.931
44,US-Var,Vaira Ranch- Ione,38.4133,-120.9508,129,GRA,0,1.931
45,US-Wkg,Walnut Gulch Kendall Grasslands,31.7365,-109.9419,1531,GRA,40.93000031,2.326220083
46,AT-Neu,Neustift,47.1167,11.3175,970,GRA,0,1.931
47,AU-How,Howard Springs,-12.4943,131.1523,0,WSA,0,1.931
48,AU-Tum,Tumbarumba,-35.6566,148.1517,1200,EBF,0.01,1.931
49,BE-Bra,Brasschaat,51.3076,4.5198,16,MF,0,1.931
50,BE-Lon,Lonzee,50.5516,4.7462,167,CRO,0.379999995,1.93466928
51,BE-Vie,Vielsalm,50.3049,5.9981,493,MF,0.430000007,1.931
52,CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",48.2167,-82.1556,340,MF,0,1.931
53,CA-Oas,"Saskatchewan - Western Boreal, Mature Aspen",53.6289,-106.1978,530,DBF,0.569999993,1.931
54,CA-Obs,"Saskatchewan - Western Boreal, Mature Black Spruce",53.9872,-105.1178,628.94,ENF,0.910000026,1.931
55,CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",49.6925,-74.3421,382,ENF,0,1.931
