"","site","PFT","Lat","Lon","model","R2","RMSE","RPE"
"1","CA-TP1","ENF","42.6609","-80.5595","VPM","0.515696416608319","3.73929669975743","0.653883666298247"
"2","CA-TP1","ENF","42.6609","-80.5595","GLO_PEM","0.577622413372489","3.21844212037178","0.623864124260423"
"3","CA-TP1","ENF","42.6609","-80.5595","EC_LUE","0.657177235165736","1.9795416695075","0.275264057781224"
"4","CA-TP1","ENF","42.6609","-80.5595","CHJ","0.51231745399351","2.90703488888874","0.826862903397947"
"5","CA-TP1","ENF","42.6609","-80.5595","C_Fix","0.501865413230808","7.77251676362438","1.81568044699972"
"6","CA-TP1","ENF","42.6609","-80.5595","MODIS","0.509286541024197","2.37080482174641","0.378355373599129"
"7","CA-TP1","ENF","42.6609","-80.5595","RF","0.674341699142557","1.27220782940736","0.000973293955823036"
"8","CA-TP1","ENF","42.6609","-80.5595","SVM","0.67597767213945","1.27590730039376","-0.0306689374510537"
"9","CA-TP1","ENF","42.6609","-80.5595","BMA","0.66817464673443","1.28451789128024","0.000530106007928169"
"10","CA-TP3","ENF","42.7068","-80.3483","VPM","0.716271132163332","4.29445559839126","0.527909218597409"
"11","CA-TP3","ENF","42.7068","-80.3483","GLO_PEM","0.771113125518301","2.96752757981385","0.322853412511946"
"12","CA-TP3","ENF","42.7068","-80.3483","EC_LUE","0.769078191451393","2.21374269584804","0.128238743566678"
"13","CA-TP3","ENF","42.7068","-80.3483","CHJ","0.607072060970303","5.73022799489092","1.11065451746786"
"14","CA-TP3","ENF","42.7068","-80.3483","C_Fix","0.689521992147922","7.61559148555954","1.15726975793986"
"15","CA-TP3","ENF","42.7068","-80.3483","MODIS","0.702028493552028","1.84285975387653","0.0353249440480322"
"16","CA-TP3","ENF","42.7068","-80.3483","RF","0.823998658955813","1.37984869808946","-0.00250428799607958"
"17","CA-TP3","ENF","42.7068","-80.3483","SVM","0.823699142412489","1.38934126784031","-0.0305302724702353"
"18","CA-TP3","ENF","42.7068","-80.3483","BMA","0.795508184017702","1.49062889706453","6.75436744489512e-05"
"19","CA-TP4","ENF","42.7102","-80.3574","VPM","0.802261651774734","3.52624989767266","0.447556274050861"
"20","CA-TP4","ENF","42.7102","-80.3574","GLO_PEM","0.827186359134973","2.41696119946919","0.244926128729382"
